id,num_orders
1028232,166.4
1262649,142.9
1453211,96.9
1262599,142.9
1495848,169.9
1342607,118.5
1358429,113.1
1475006,148.3
1009709,166.4
1460444,1258.3
1476535,1310.0
1297121,1332.5
1141103,1451.5
1274933,1451.5
1435122,1315.2
1486477,1231.6
1195364,1451.5
1301491,1419.0
1059056,1374.2
1098228,1392.3
1080847,1431.1
1064602,1475.6
1093227,1458.2
1177861,1357.3
1259611,1416.5
1274836,1349.0
1030333,1365.2
1249982,1338.2
1188591,1357.3
1316160,443.3
1419545,476.9
1062437,481.1
1181575,1129.0
1143023,450.0
1278339,443.3
1282203,443.3
1080746,458.0
1296937,443.3
1210564,456.8
1390579,344.9
1436947,385.1
1045739,301.1
1318087,350.0
1223698,325.5
1436625,401.5
1383644,316.4
1045356,311.8
1121593,301.2
1114635,291.8
1332667,1275.9
1039351,1329.9
1319273,1296.2
1305518,1329.9
1327143,1275.9
1272171,2339.4
1223757,2153.3
1090089,2164.1
1128850,2153.3
1446344,1338.3
1237947,875.3
1452835,775.6
1029462,1011.8
1365321,844.7
1377892,830.0
1378346,830.0
1261333,883.5
1427333,775.6
1157382,910.4
1168967,874.1
1306954,2000.9
1342909,2069.6
1244760,2069.6
1431361,2130.3
1276681,2000.9
1148958,2116.8
1184174,2069.6
1323560,2069.6
1066229,2164.0
1025558,1995.8
1083889,373.9
1378453,382.8
1434331,304.3
1311554,388.6
1111904,311.9
1430955,297.9
1455829,365.6
1182896,354.7
1205862,393.3
1215917,354.2
1409427,318.4
1100468,324.1
1411863,342.4
1010693,386.4
1004925,382.1
1265382,347.0
1239027,355.2
1462013,316.3
1464784,303.5
1440692,390.1
1268331,385.2
1030648,380.1
1033468,324.4
1452010,305.7
1164883,431.0
1265395,368.9
1214244,344.7
1307226,411.9
1425834,304.7
1105463,320.0
1245977,93.7
1352817,85.5
1245183,88.2
1490092,83.8
1278462,99.0
1090267,114.8
1231613,96.1
1164334,106.9
1300150,103.4
1231259,96.1
1243020,174.4
1433764,252.8
1124103,174.4
1031825,174.4
1437782,281.3
1087645,174.4
1185456,174.4
1450862,252.8
1465438,252.8
1035890,202.9
1267165,996.5
1262997,1027.4
1088775,1075.6
1217709,995.3
1430418,1058.3
1275478,1064.1
1435295,1058.3
1346982,1081.1
1160970,1074.3
1310566,1069.4
1014151,621.1
1374002,610.3
1417996,588.7
1141881,575.5
1219590,575.5
1373220,588.7
1355558,583.1
1042282,565.8
1323969,590.1
1480827,649.7
1161084,329.6
1351984,316.1
1196384,322.6
1231951,305.2
1004647,290.1
1441493,378.1
1337172,419.0
1127689,261.7
1321298,297.0
1475476,365.6
1207745,523.0
1332437,568.8
1295195,548.3
1238168,1100.6
1401191,1143.6
1320351,583.5
1015073,556.5
1440436,592.8
1488196,595.6
1084735,501.1
1312130,133.9
1284072,217.7
1390606,204.0
1177870,242.0
1217412,193.4
1391279,197.2
1000635,216.3
1070142,184.7
1158077,228.0
1263948,191.9
1240615,1458.3
1397490,1423.3
1355088,1360.9
1401705,1562.3
1422185,1476.3
1390157,1359.8
1460838,1494.6
1377519,1359.8
1310657,1313.8
1491023,1256.0
1067356,1287.2
1282200,1085.5
1137357,1291.0
1396043,1038.1
1269970,1067.5
1350440,1078.8
1308326,1020.2
1242087,1062.3
1043619,1296.4
1222185,1284.3
1497941,774.1
1278537,811.8
1355035,798.5
1143583,743.9
1020166,771.1
1406416,773.7
1203123,750.9
1480428,786.2
1420069,767.2
1125502,738.7
1249505,217.2
1206767,228.2
1094469,205.2
1278323,198.4
1173977,201.1
1140787,203.8
1116819,222.6
1252003,507.4
1352888,200.1
1128508,170.9
1034558,64.2
1176365,67.1
1094576,68.2
1392466,68.7
1055474,68.2
1217360,67.1
1271801,69.8
1345064,52.4
1401294,79.1
1024879,64.2
1001797,893.2
1131807,891.0
1494899,819.9
1268958,889.6
1288154,889.6
1203405,889.6
1040370,893.2
1044833,893.2
1350447,889.6
1347690,889.6
1025721,482.3
1457412,437.4
1251774,488.1
1380718,459.1
1262455,478.1
1043759,539.5
1153098,477.9
1142567,515.7
1044267,417.7
1263998,520.9
1185434,1750.9
1101049,1723.5
1101699,1723.5
1089294,1723.5
1480593,1499.2
1339799,1773.3
1261433,1740.8
1397430,1658.0
1083089,1750.9
1138673,1711.1
1306281,101.7
1042427,98.0
1039235,110.1
1270474,112.3
1387994,82.3
1204001,69.6
